time,ISIN,bidprice0,askprice0,bidsize0,asksize0
2020.04.30D12:00:02.379015225,LOM0_C2650,0.34,0.4,9,17
2020.04.30D12:00:02.379018776,LOM0_C2700,0.3,0.36,33,18
2020.04.30D12:00:02.379022192,LOM0_C2750,0.28,0.33,3,3
2020.04.30D12:00:02.379025565,LOM0_C2800,0.26,0.3,3,3
2020.04.30D12:00:02.379029112,LOM0_C2850,0.24,0.28,3,2
2020.04.30D12:00:02.379032772,LOM0_C2900,0.22,0.26,3,2
2020.04.30D12:00:02.379036744,LOM0_C2950,0.2,0.24,4,2
2020.04.30D12:00:02.379040362,LOM0_C3000,0.21,0.23,5,19
2020.04.30D12:00:02.379100377,LOM0_C3050,0.18,0.21,4,3
2020.04.30D12:00:02.379104794,LOM0_C3100,0.17,0.2,2,3
2020.04.30D12:00:02.379107889,LOM0_C3150,0.16,0.18,2,2
2020.04.30D12:00:02.379111670,LOM0_C3200,0.15,0.17,2,3
2020.04.30D12:00:02.379114967,LOM0_C3250,0.14,0.16,1,3
2020.04.30D12:00:02.379118296,LOM0_P1000,1.15,1.19,2,2
2020.04.30D12:00:02.379123374,LOM0_P1050,1.21,1.26,8,15
2020.04.30D12:00:02.379127100,LOM0_P1100,1.27,1.32,10,10
2020.04.30D12:00:02.379130779,LOM0_P1150,1.33,1.39,15,8
2020.04.30D12:00:02.379135771,LOM0_P1200,1.41,1.47,10,12
2020.04.30D12:00:02.379139224,LOM0_P1250,1.49,1.55,8,8
2020.04.30D12:00:02.379142457,LOM0_P1300,1.57,1.64,35,7
2020.04.30D12:00:02.379145989,LOM0_P1350,1.67,1.74,13,7
2020.04.30D12:00:02.379149625,LOM0_P1400,1.77,1.84,28,6
2020.04.30D12:00:02.379153346,LOM0_P1450,1.89,1.96,23,5
2020.04.30D12:00:02.379156696,LOM0_P1500,2.02,2.1,7,15
2020.04.30D12:00:02.379160282,LOM0_P1550,2.16,2.23,5,5
2020.04.30D12:00:02.379164091,LOM0_P1600,2.31,2.38,8,7
2020.04.30D12:00:02.379167925,LOM0_P1650,2.48,2.56,7,8
2020.04.30D12:00:02.379171742,LOM0_P1700,2.66,2.75,6,14
2020.04.30D12:00:02.379175218,LOM0_P1750,2.85,2.93,3,3
2020.04.30D12:00:02.379178783,LOM0_P1800,3.07,3.16,1,6
2020.04.30D12:00:02.379236480,LOM0_P1850,3.3,3.4,1,2
2020.04.30D12:00:02.379241225,LOM0_P1900,3.53,3.65,9,1
2020.04.30D12:00:02.379244548,LOM0_P1950,3.8,3.93,9,2
2020.04.30D12:00:02.379248075,LOM0_P2000,4.09,4.22,9,1
2020.04.30D12:00:02.379251832,LOM0_P2050,4.4,4.53,9,1
2020.04.30D12:00:02.379255235,LOM0_P2100,4.73,4.86,9,1
2020.04.30D12:00:02.379258830,LOM0_P2150,5.08,5.21,1,2
2020.04.30D12:00:02.379262899,LOM0_P2200,5.44,5.57,7,1
2020.04.30D12:00:02.379266705,LOM0_P2500,7.87,8.09,2,2
2020.04.30D12:00:02.379270183,LON0_C2200,3.18,3.29,5,13
2020.04.30D12:00:02.379273935,LON0_C2250,2.94,3.05,5,13
2020.04.30D12:00:02.379277554,LON0_C2300,2.71,2.82,5,15
2020.04.30D12:00:02.379281218,LON0_C2350,2.5,2.6,5,13
2020.04.30D12:00:02.379284856,LON0_C2400,2.3,2.4,5,16
2020.04.30D12:00:02.379288691,LON0_C2450,2.12,2.21,5,13
2020.04.30D12:00:02.379292206,LON0_C2500,1.95,2.04,5,17
2020.04.30D12:00:02.379295762,LON0_C2550,1.79,1.88,5,12
2020.04.30D12:00:02.379299161,LON0_C2600,1.64,1.73,5,12
2020.04.30D12:00:02.379302911,LON0_C2650,1.49,1.59,9,13
2020.04.30D12:00:02.379306483,LON0_C2700,1.36,1.46,9,17
2020.04.30D12:00:02.379372773,LON0_C2750,1.24,1.34,9,18
2020.04.30D12:00:02.379377392,LON0_C2800,1.13,1.23,4,17
2020.04.30D12:00:02.379380808,LON0_C2850,1.04,1.13,4,10
2020.04.30D12:00:02.379384355,LON0_C2900,0.94,1.04,4,19
2020.04.30D12:00:02.379387938,LON0_C2950,0.86,0.95,6,6
2020.04.30D12:00:02.379391486,LON0_C3000,0.81,0.87,1,7
2020.04.30D12:00:02.379394972,LON0_C3050,0.72,0.8,6,6
2020.04.30D12:00:02.379398585,LON0_C3100,0.65,0.74,6,6
2020.04.30D12:00:02.379402125,LON0_C3150,0.59,0.68,7,7
2020.04.30D12:00:02.379405819,LON0_C3200,0.54,0.63,7,17
2020.04.30D12:00:02.379409107,LON0_C3250,0.49,0.58,24,7
2020.04.30D12:00:02.379412289,LON0_C3300,0.46,0.53,2,19
2020.04.30D12:00:02.379415663,LON0_C3350,0.41,0.5,23,7
2020.04.30D12:00:02.379419269,LON0_C3400,0.38,0.46,10,13
2020.04.30D12:00:02.379423053,LON0_C3450,0.35,0.43,10,10
2020.04.30D12:00:02.379426605,LON0_C3500,0.34,0.39,2,4
2020.04.30D12:00:02.379430057,LON0_C3550,0.3,0.38,26,20
2020.04.30D12:00:02.379433936,LON0_C3600,0.27,0.35,31,13
2020.04.30D12:00:02.379437566,LON0_C3650,0.25,0.34,38,43
2020.04.30D12:00:02.379441258,LON0_C3700,0.24,0.31,26,13
2020.04.30D12:00:02.379444873,LON0_C3750,0.22,0.3,29,20
2020.04.30D12:00:02.379499390,LON0_C3800,0.23,0.28,3,19
2020.04.30D12:00:02.379504470,LON0_C3850,0.2,0.27,26,20
2020.04.30D12:00:02.379507887,LON0_C3900,0.21,0.25,3,19
2020.04.30D12:00:02.379511579,LON0_C3950,0.18,0.25,15,25
2020.04.30D12:00:02.379515371,LON0_P1000,1.51,1.58,7,19
2020.04.30D12:00:02.379518860,LON0_P1100,1.61,1.7,31,18
2020.04.30D12:00:02.379522709,LON0_P1150,1.68,1.77,25,23
2020.04.30D12:00:02.379526556,LON0_P1200,1.74,1.84,28,23
2020.04.30D12:00:02.379530490,LON0_P1250,1.82,1.91,29,23
2020.04.30D12:00:02.379534217,LON0_P1300,1.9,1.99,29,23
2020.04.30D12:00:02.379538161,LON0_P1350,1.98,2.07,27,5
2020.04.30D12:00:02.379541872,LON0_P1400,2.07,2.16,27,5
2020.04.30D12:00:02.379545517,LON0_P1450,2.17,2.26,23,5
2020.04.30D12:00:02.379548857,LON0_P1500,2.27,2.37,27,9
2020.04.30D12:00:02.379552328,LON0_P1550,2.38,2.48,23,9
2020.04.30D12:00:02.379555792,LON0_P1600,2.5,2.6,9,17
2020.04.30D12:00:02.379559293,LON0_P1650,2.62,2.72,9,15
2020.04.30D12:00:02.379563134,LON0_P1700,2.75,2.86,8,18
