time,ISIN,bidprice0,askprice0,bidsize0,asksize0
2020.04.30D12:00:36.866693309,LON0_C3950,0.17,0.25,31,25
2020.04.30D12:00:36.866697593,LON0_P1000,1.51,1.59,7,19
2020.04.30D12:00:36.866703828,LON0_P1100,1.62,1.71,11,18
2020.04.30D12:00:36.866707113,LON0_P1150,1.68,1.77,25,6
2020.04.30D12:00:36.866711215,LON0_P1200,1.75,1.84,25,6
2020.04.30D12:00:36.866715421,LON0_P1250,1.82,1.92,29,23
2020.04.30D12:00:36.866719772,LON0_P1300,1.9,2,29,23
2020.04.30D12:00:36.866726730,LON0_P1350,1.99,2.08,9,9
2020.04.30D12:00:36.866729794,LON0_P1400,2.08,2.17,9,9
2020.04.30D12:00:36.866733733,LON0_P1450,2.17,2.27,23,9
2020.04.30D12:00:36.866738001,LON0_P1500,2.28,2.38,9,11
2020.04.30D12:00:36.866742271,LON0_P1550,2.38,2.49,27,16
2020.04.30D12:00:36.866747061,LON0_P1600,2.5,2.61,9,17
2020.04.30D12:00:36.866751377,LON0_P1650,2.62,2.73,24,16
2020.04.30D12:00:36.866790617,LON0_P1700,2.76,2.86,8,18
2020.04.30D12:00:36.866794387,LON0_P1750,2.9,3,8,18
2020.04.30D12:00:36.866798947,LON0_P1800,3.05,3.16,8,18
2020.04.30D12:00:36.866803551,LON0_P1850,3.21,3.31,8,7
2020.04.30D12:00:36.866807859,LON0_P1900,3.38,3.49,8,18
2020.04.30D12:00:36.866812145,LON0_P1950,3.56,3.66,6,4
2020.04.30D12:00:36.866816348,LON0_P2000,3.75,3.86,6,4
2020.04.30D12:00:36.866820578,LON0_P2050,3.95,4.07,6,10
2020.04.30D12:00:36.866824835,LON0_P2100,4.17,4.28,6,4
2020.04.30D12:00:36.866829018,LON0_P2150,4.4,4.53,6,6
2020.04.30D12:00:36.866833418,LON0_P2200,4.65,4.78,6,6
2020.04.30D12:00:36.866837527,LON0_P2250,4.91,5.04,6,6
2020.04.30D12:00:36.866841798,LON0_P2300,5.18,5.32,6,6
2020.04.30D12:00:36.866846015,LON0_P2350,5.46,5.6,6,6
2020.04.30D12:00:36.872818755,LON0_C1650,6.55,6.82,2,2
2020.04.30D12:00:36.872823135,LON0_C1700,6.19,6.44,2,2
2020.04.30D12:00:36.872827961,LON0_C1750,5.83,6.08,6,6
2020.04.30D12:00:36.872834083,LON0_C1800,5.49,5.72,6,6
2020.04.30D12:00:36.872838848,LON0_C1850,5.15,5.39,6,6
2020.04.30D12:00:36.872843032,LON0_C1900,4.83,5.06,6,6
2020.04.30D12:00:36.872847085,LON0_C1950,4.52,4.74,6,6
2020.04.30D12:00:36.872851092,LON0_C2000,4.22,4.44,6,6
2020.04.30D12:00:36.872856223,LON0_C2050,3.93,4.14,6,6
2020.04.30D12:00:36.872860676,LON0_C2100,3.66,3.81,11,6
2020.04.30D12:00:36.872864996,LON0_C2150,3.4,3.54,5,14
2020.04.30D12:00:36.872869218,LON0_C2200,3.16,3.28,5,11
2020.04.30D12:00:36.872873218,LON0_C2400,2.3,2.39,5,13
2020.04.30D12:00:36.872877487,LON0_C2450,2.1,2.21,8,13
2020.04.30D12:00:36.872881722,LON0_C2600,1.63,1.72,8,12
2020.04.30D12:00:36.872885734,LON0_C2650,1.48,1.58,9,13
2020.04.30D12:00:36.872889995,LON0_C2700,1.35,1.46,9,17
2020.04.30D12:00:36.872894285,LON0_C2750,1.24,1.34,4,18
2020.04.30D12:00:36.872898293,LON0_C2800,1.13,1.23,4,17
2020.04.30D12:00:36.872902416,LON0_C2850,1.03,1.13,4,10
2020.04.30D12:00:36.872908650,LON0_C2900,0.94,1.04,4,19
2020.04.30D12:00:36.872911706,LON0_C2950,0.86,0.95,6,16
2020.04.30D12:00:36.872915560,LON0_P1000,1.51,1.59,7,7
2020.04.30D12:00:36.872919889,LON0_P1050,1.55,1.65,38,12
2020.04.30D12:00:36.872954734,LON0_P1100,1.62,1.71,11,6
2020.04.30D12:00:36.872958340,LON0_P1150,1.68,1.77,25,6
2020.04.30D12:00:36.872962490,LON0_P1200,1.75,1.84,25,6
2020.04.30D12:00:36.872966518,LON0_P1250,1.82,1.92,29,11
2020.04.30D12:00:36.872971699,LON0_P1300,1.9,2,29,11
2020.04.30D12:00:36.872975991,LON0_P1350,1.99,2.08,9,9
2020.04.30D12:00:36.872980529,LON0_P1400,2.08,2.17,9,9
2020.04.30D12:00:36.872984803,LON0_P1450,2.17,2.27,23,9
2020.04.30D12:00:36.872989282,LON0_P1500,2.28,2.38,9,11
2020.04.30D12:00:36.872993632,LON0_P1550,2.38,2.49,27,16
2020.04.30D12:00:36.872997741,LON0_P1600,2.5,2.61,9,17
2020.04.30D12:00:36.873002070,LON0_P1650,2.62,2.73,24,16
2020.04.30D12:00:36.873006183,LON0_P1700,2.76,2.86,8,18
2020.04.30D12:00:36.873010319,LON0_P1750,2.9,3,8,18
2020.04.30D12:00:36.873014572,LON0_P1800,3.05,3.16,8,18
2020.04.30D12:00:36.873019200,LON0_P1850,3.21,3.31,8,7
2020.04.30D12:00:36.873023602,LON0_P2000,3.75,3.86,6,4
2020.04.30D12:00:36.873060918,LON0_P2050,3.95,4.07,6,10
2020.04.30D12:00:36.873064879,LON0_P2100,4.17,4.28,6,4
2020.04.30D12:00:36.873069438,LON0_P2150,4.4,4.53,6,6
2020.04.30D12:00:36.873076692,LON0_P2200,4.65,4.78,6,6
2020.04.30D12:00:36.873080022,LON0_P2250,4.91,5.04,6,6
2020.04.30D12:00:36.873084173,LON0_P2300,5.18,5.32,6,6
2020.04.30D12:00:36.873088305,LON0_P2350,5.46,5.6,6,6
2020.04.30D12:00:36.873093569,LON0_P2400,5.7,5.96,2,2
2020.04.30D12:00:36.873098064,LON0_P950,1.44,1.53,22,7
2020.04.30D12:00:36.875384497,LOM0_C1700,3.19,3.27,2,3
2020.04.30D12:00:36.875388098,LOM0_C2100,1.31,1.38,6,10
2020.04.30D12:00:36.875392233,LON0_C2500,1.93,2.03,5,13
2020.04.30D12:00:36.875396518,LON0_P1400,2.08,2.17,9,5
2020.04.30D12:00:36.875400597,LOM0_C1850,2.34,2.42,3,7
2020.04.30D12:00:36.875404987,LOM0_C2450,0.55,0.6,7,13
2020.04.30D12:00:36.875409187,LOM0_P1600,2.32,2.39,9,3
2020.04.30D12:00:36.875413289,LON0_C2600,1.63,1.72,5,12
2020.04.30D12:00:36.875418366,LON0_P1650,2.62,2.73,24,12
2020.04.30D12:00:36.875430567,LOM0_C1800,2.6,2.69,4,13
2020.04.30D12:00:36.875433809,LON0_C2450,2.1,2.21,5,13
2020.04.30D12:00:36.875441300,LON0_P1700,2.76,2.86,8,15
2020.04.30D12:00:36.875444345,LOM0_C1950,1.86,1.94,5,3
2020.04.30D12:00:36.875452551,LON0_C2100,3.66,3.81,10,6
2020.04.30D12:00:36.875455622,LON0_P1750,2.9,3,8,15
2020.04.30D12:00:36.875750928,LOM0_P1700,2.67,2.76,9,10
2020.04.30D12:00:36.875754640,LOM0_C2250,0.9,0.96,13,9
2020.04.30D12:00:36.875772438,LON0_C2300,2.7,2.81,5,13
2020.04.30D12:00:36.875775807,LON0_P1950,3.56,3.66,6,4
2020.04.30D12:00:36.875780075,LON0_C2350,2.49,2.59,5,13
2020.04.30D12:00:36.875784247,LON0_C2450,2.1,2.21,5,13
2020.04.30D12:00:36.875788186,LON0_P1700,2.76,2.86,8,15
2020.04.30D12:00:36.875793122,LON0_P1600,2.5,2.61,27,17
2020.04.30D12:00:36.875797412,LON0_C2700,1.35,1.46,9,17
2020.04.30D12:00:36.875801506,LON0_C2750,1.24,1.34,4,18
2020.04.30D12:00:36.875810350,LON0_P1400,2.08,2.17,9,5
2020.04.30D12:00:36.875813599,LON0_C2900,0.94,1.04,4,38
2020.04.30D12:00:36.875942621,LOM0_P1850,3.31,3.41,1,1
2020.04.30D12:00:36.875946100,LOM0_P1800,3.08,3.18,1,6
2020.04.30D12:00:36.876018926,LOM0_C2850,0.24,0.28,3,2
2020.04.30D12:00:36.876022401,LOM0_C3050,0.18,0.21,4,3
2020.04.30D12:00:36.876030994,LON0_C4650,0.08,0.16,19,16
2020.04.30D12:00:36.876059803,LON0_C2100,3.66,3.81,5,6
2020.04.30D12:00:36.876063348,LON0_P2150,4.4,4.53,6,6
2020.04.30D12:00:36.876071184,LOM0_P1650,2.49,2.58,10,8
2020.04.30D12:00:36.876096497,LON0_P1600,2.5,2.61,23,17
2020.04.30D12:00:36.876099770,LON0_C2700,1.35,1.46,9,17
2020.04.30D12:00:36.876160362,LOM0_C1950,1.86,1.94,5,9
2020.04.30D12:00:36.876164111,LOM0_P1200,1.41,1.48,16,12
2020.04.30D12:00:36.876196701,LON0_C2100,3.66,3.81,5,6
2020.04.30D12:00:36.876207921,LOM0_P1350,1.67,1.75,33,8
2020.04.30D12:00:36.876234720,LOM0_C1100,7.74,7.9,1,8
2020.04.30D12:00:36.876238397,LOM0_C1150,7.31,7.46,1,8
2020.04.30D12:00:36.876248491,LOM0_C1200,6.89,7.03,1,8
2020.04.30D12:00:36.876251618,LOM0_C1250,6.47,6.62,1,8
2020.04.30D12:00:36.876255739,LOM0_C1300,6.06,6.21,1,9
2020.04.30D12:00:36.876259952,LOM0_C1350,5.66,5.8,1,9
2020.04.30D12:00:36.876264073,LOM0_C1400,5.26,5.42,2,9
2020.04.30D12:00:36.876268351,LOM0_C1450,4.88,5.04,2,9
2020.04.30D12:00:36.876272405,LOM0_P2000,4.12,4.23,1,1
2020.04.30D12:00:36.876276645,LOM0_P2050,4.43,4.55,2,1
2020.04.30D12:00:36.876280931,LOM0_P2100,4.76,4.88,1,1
2020.04.30D12:00:36.876285283,LOM0_P2150,5.11,5.23,1,1
2020.04.30D12:00:36.876306879,LOM0_C1500,4.51,4.66,2,9
2020.04.30D12:00:36.876310450,LOM0_C1550,4.17,4.27,1,1
2020.04.30D12:00:36.876314735,LOM0_C1600,3.82,3.92,1,1
2020.04.30D12:00:36.876318825,LOM0_C1650,3.49,3.59,1,1
2020.04.30D12:00:36.876324106,LOM0_C1750,2.88,2.96,3,3
2020.04.30D12:00:36.876328723,LOM0_P1900,3.56,3.67,1,1
2020.04.30D12:00:36.876332950,LOM0_P1950,3.83,3.94,1,1
2020.04.30D12:00:36.876351276,LOM0_C1850,2.34,2.42,3,7
2020.04.30D12:00:36.876354742,LOM0_C1950,1.86,1.94,5,9
2020.04.30D12:00:36.876364952,LOM0_C2250,0.9,0.96,13,9
2020.04.30D12:00:36.876368198,LOM0_P2200,5.46,5.59,8,1
2020.04.30D12:00:36.876388676,LOM0_C2600,0.38,0.43,9,15
2020.04.30D12:00:36.876391826,LOM0_C2650,0.34,0.4,9,17
2020.04.30D12:00:36.876443846,LOM0_C1000,8.61,8.79,1,2
2020.04.30D12:00:36.876447400,LOM0_C1050,8.17,8.35,1,2
2020.04.30D12:00:36.876482934,LOM0_P1750,2.87,2.95,1,9
2020.04.30D12:00:36.876486447,LOM0_P1650,2.49,2.58,10,8
2020.04.30D12:00:36.876517707,LON0_C2400,2.3,2.39,5,13
2020.04.30D12:00:36.876533502,LOM0_C1100,7.74,7.9,1,8
2020.04.30D12:00:36.876537259,LOM0_C1150,7.31,7.46,1,8
2020.04.30D12:00:36.876541607,LOM0_C1200,6.89,7.03,1,8
2020.04.30D12:00:36.876546117,LOM0_C1250,6.47,6.62,1,8
2020.04.30D12:00:36.876550478,LOM0_C1300,6.06,6.21,1,9
2020.04.30D12:00:36.876554662,LOM0_C1350,5.66,5.8,1,9
2020.04.30D12:00:36.876558932,LOM0_C1400,5.26,5.42,2,9
2020.04.30D12:00:36.876562928,LOM0_C1450,4.88,5.04,2,9
2020.04.30D12:00:36.876567053,LOM0_C1500,4.51,4.66,2,9
2020.04.30D12:00:36.876570954,LOM0_C1600,3.82,3.92,1,1
2020.04.30D12:00:36.876575018,LOM0_C1750,2.88,2.96,3,3
2020.04.30D12:00:36.876585347,LOM0_C1950,1.86,1.94,5,9
2020.04.30D12:00:36.877426157,LOM0_P1750,2.87,2.95,1,9
2020.04.30D12:00:36.877430481,LOM0_C1550,4.17,4.27,1,1
2020.04.30D12:00:36.877435143,LOM0_P1700,2.67,2.76,9,5
2020.04.30D12:00:36.877439483,LOM0_P1550,2.17,2.24,5,5
2020.04.30D12:00:36.877447507,LOM0_C1750,2.88,2.96,3,3
2020.04.30D12:00:36.877450737,LOM0_C1600,3.82,3.92,1,1
2020.04.30D12:00:36.877454708,LOM0_C1850,2.34,2.42,3,12
2020.04.30D12:00:36.877458839,LOM0_C1900,2.09,2.17,4,12
2020.04.30D12:00:36.877463008,LOM0_C1950,1.86,1.94,5,14
2020.04.30D12:00:36.877467363,LOM0_C2000,1.7,1.73,2,10
2020.04.30D12:00:36.877471657,LOM0_P1200,1.41,1.48,21,12
2020.04.30D12:00:36.877475767,LOM0_P1250,1.49,1.56,18,7
2020.04.30D12:00:36.877480036,LOM0_P1600,2.32,2.39,14,3
2020.04.30D12:00:36.878009154,LOM0_C1800,2.6,2.69,4,13
2020.04.30D12:00:36.878013201,LOM0_C100,16,0,1,0
2020.04.30D12:00:36.878017888,LOM0_C300,14,0,1,0
2020.04.30D12:00:36.878022275,LOM0_C350,13.54,0,1,0
2020.04.30D12:00:36.878026791,LOM0_C400,13.08,0,1,0
2020.04.30D12:00:36.878031344,LOM0_C450,12.62,0,1,0
2020.04.30D12:00:36.878037342,LOM0_C500,12.16,0,1,0
2020.04.30D12:00:36.878041848,LOM0_P4100,22.47,24.62,1,1
2020.04.30D12:00:36.878046093,LON0_C200,17.4,0,1,0
2020.04.30D12:00:36.878050854,LON0_C250,16.86,0,1,0
2020.04.30D12:00:36.878055253,LON0_C300,16.36,0,1,0
2020.04.30D12:00:36.878060486,LON0_C350,15.88,0,1,0
2020.04.30D12:00:36.878092314,LON0_P1700,2.76,2.86,8,15
2020.04.30D12:00:36.878095841,LON0_C400,15.4,0,1,0
2020.04.30D12:00:36.878100357,LON0_C500,14.46,0,1,0
2020.04.30D12:00:36.878105154,LON0_C550,14,0,1,0
2020.04.30D12:00:36.878137458,LOM0_P4400,25.47,0,1,0
2020.04.30D12:00:36.878141096,LOM0_P5000,31.45,0,1,0
2020.04.30D12:00:36.878501173,LOM0_P2000,4.12,4.23,2,1
2020.04.30D12:00:36.878504711,LON0_P2350,5.46,5.6,6,1
2020.04.30D12:00:36.878509434,LOM0_P1800,3.08,3.18,1,1
2020.04.30D12:00:36.878513898,LOM0_P2200,5.46,5.59,8,1
2020.04.30D12:00:36.878518049,LOM0_P1850,3.31,3.41,1,1
2020.04.30D12:00:36.878522594,LOM0_P2100,4.76,4.88,2,1
2020.04.30D12:00:36.878530043,LOM0_C2950,0.2,0.24,4,2
2020.04.30D12:00:36.878547882,LON0_C3000,0.81,0.87,1,7
2020.04.30D12:00:36.879262607,LOM0_C150,15.45,0,1,0
2020.04.30D12:00:36.879266148,LOM0_C200,14.95,0,1,0
2020.04.30D12:00:36.879270826,LOM0_C250,14.47,0,1,0
2020.04.30D12:00:36.879275353,LOM0_P4000,21.5,23.63,2,1
2020.04.30D12:00:36.879281078,LOM0_P4050,21.98,24.13,1,1
2020.04.30D12:00:36.879286408,LON0_C450,14.93,0,1,0
2020.04.30D12:00:36.879290958,LON0_C600,13.55,0,1,0
2020.04.30D12:00:36.879319756,LOM0_P4100,22.48,24.62,1,1
2020.04.30D12:00:36.879323331,LOM0_P4550,26.96,0,1,0
2020.04.30D12:00:36.879387372,LON0_C2500,1.93,2.03,5,13
2020.04.30D12:00:36.879390993,LON0_P1650,2.62,2.73,24,12
2020.04.30D12:00:36.879395147,LON0_C2100,3.66,3.81,5,6
2020.04.30D12:00:36.879399387,LOM0_C1950,1.86,1.94,5,14
2020.04.30D12:00:36.879403686,LON0_P1750,2.9,3,8,15
2020.04.30D12:00:36.881150861,LOM0_C1800,2.6,2.69,4,13
2020.04.30D12:00:36.881419316,LOM0_C2000,1.7,1.73,2,14
2020.04.30D12:00:36.881424766,LOM0_C2150,1.16,1.23,12,14
2020.04.30D12:00:36.885242732,LON0_P1400,2.08,2.17,9,5
2020.04.30D12:00:36.885246518,LOM0_C2450,0.55,0.6,7,13
2020.04.30D12:00:36.885449339,LON0_C3100,0.65,0.74,6,14
2020.04.30D12:00:36.885532960,LON0_C3650,0.25,0.34,38,43
2020.04.30D12:00:36.885536067,LON0_C3450,0.35,0.44,10,35
2020.04.30D12:00:36.885573724,LOM0_P4050,21.99,24.13,1,1
2020.04.30D12:00:36.886532200,LON0_C2550,1.78,1.87,5,14
2020.04.30D12:00:36.886541832,LOM0_C1550,4.16,4.27,1,1
2020.04.30D12:00:36.886544831,LOM0_P2200,5.46,5.6,8,1
2020.04.30D12:00:36.886548799,LON0_P1150,1.68,1.78,25,11
2020.04.30D12:00:36.886552933,LOM0_P2000,4.12,4.24,2,1
2020.04.30D12:00:36.886556900,LOM0_C1650,3.48,3.59,2,1
2020.04.30D12:00:36.886560979,LOM0_P2150,5.11,5.24,1,2
2020.04.30D12:00:36.886567084,LOM0_P1850,3.31,3.42,1,2
2020.04.30D12:00:36.886569999,LOM0_P2050,4.43,4.56,2,2
2020.04.30D12:00:36.886644861,LOM0_P1900,3.56,3.68,1,2
2020.04.30D12:00:36.886648332,LON0_C3450,0.34,0.44,33,35
2020.04.30D12:00:36.886652494,LON0_C3100,0.64,0.74,6,14
2020.04.30D12:00:36.886656594,LON0_C3150,0.58,0.68,22,17
2020.04.30D12:00:36.886660632,LON0_C3250,0.48,0.58,25,7
2020.04.30D12:00:36.886664843,LON0_C3350,0.4,0.5,25,7
2020.04.30D12:00:36.886668808,LON0_C2800,1.12,1.23,9,17
2020.04.30D12:00:36.886672823,LON0_C2850,1.02,1.13,9,10
2020.04.30D12:00:36.886676790,LON0_C3050,0.7,0.8,6,6
2020.04.30D12:00:36.886736829,LOM0_P1600,2.32,2.39,14,6
2020.04.30D12:00:36.886740141,LOM0_C1850,2.34,2.42,3,12
2020.04.30D12:00:36.886746267,LOM0_C1700,3.19,3.27,2,3
2020.04.30D12:00:36.886749178,LOM0_C2100,1.31,1.38,6,10
2020.04.30D12:00:36.886753155,LON0_C2500,1.93,2.03,5,13
2020.04.30D12:00:36.886757300,LON0_C2600,1.63,1.72,5,12
2020.04.30D12:00:36.886761287,LON0_P1650,2.62,2.73,24,12
2020.04.30D12:00:36.886827817,LOM0_P1300,1.59,1.65,9,7
2020.04.30D12:00:36.886831028,LOM0_P1750,2.86,2.95,8,9
2020.04.30D12:00:36.886835199,LOM0_P1850,3.3,3.42,6,2
2020.04.30D12:00:36.886839304,LOM0_C1650,3.48,3.6,2,2
2020.04.30D12:00:36.886843283,LOM0_P1950,3.82,3.94,9,1
2020.04.30D12:00:36.886849412,LOM0_C1550,4.16,4.28,1,2
2020.04.30D12:00:36.886853771,LOM0_P2150,5.1,5.24,8,2
2020.04.30D12:00:36.886862604,LON0_P1000,1.5,1.59,85,7
2020.04.30D12:00:36.887808376,LOM0_C1550,4.16,4.28,1,2
2020.04.30D12:00:36.887811684,LOM0_P2200,5.46,5.6,8,1
2020.04.30D12:00:36.887815852,LOM0_P2000,4.12,4.24,2,1
2020.04.30D12:00:36.888542446,LON0_C3050,0.7,0.81,6,31
2020.04.30D12:00:36.888551659,LON0_C3250,0.48,0.59,25,41
2020.04.30D12:00:36.888554703,LON0_C3350,0.4,0.51,25,41
2020.04.30D12:00:36.888840511,LON0_C2300,2.7,2.81,5,13
2020.04.30D12:00:36.888844009,LON0_P1200,1.75,1.85,25,11
2020.04.30D12:00:36.888848054,LOM0_C1700,3.19,3.27,2,3
2020.04.30D12:00:36.888852226,LON0_C3200,0.53,0.62,22,11
2020.04.30D12:00:36.888856140,LON0_C3550,0.29,0.38,33,20
2020.04.30D12:00:36.888860298,LOM0_C1600,3.81,3.92,2,1
2020.04.30D12:00:36.888864369,LOM0_P1950,3.82,3.95,9,2
2020.04.30D12:00:36.888868520,LOM0_P2100,4.76,4.89,2,2
2020.04.30D12:00:36.888872574,LON0_C2600,1.63,1.72,5,12
2020.04.30D12:00:36.888876598,LON0_C3400,0.37,0.46,37,15
2020.04.30D12:00:36.888880477,LON0_C2950,0.85,0.95,6,16
2020.04.30D12:00:36.888900008,LOM0_C1800,2.6,2.69,4,13
2020.04.30D12:00:36.888903605,LON0_C2750,1.23,1.34,9,18
2020.04.30D12:00:36.888907807,LON0_C2450,2.1,2.21,5,13
2020.04.30D12:00:36.888911869,LON0_P1700,2.76,2.86,8,15
2020.04.30D12:00:36.888915916,LON0_C2900,0.93,1.04,4,38
2020.04.30D12:00:36.889017942,LOM0_P1800,3.07,3.18,18,1
2020.04.30D12:00:36.889021171,LOM0_P1900,3.55,3.68,9,2
2020.04.30D12:00:36.889025289,LOM0_C1600,3.81,3.93,2,2
2020.04.30D12:00:36.889029360,LOM0_P2000,4.12,4.24,1,1
2020.04.30D12:00:36.889033390,LOM0_P2100,4.76,4.89,1,2
2020.04.30D12:00:36.889121832,LON0_C2900,0.93,1.04,4,38
2020.04.30D12:00:36.889252120,LON0_C3400,0.37,0.46,33,15
2020.04.30D12:00:36.889910390,LOM0_C1350,5.65,5.8,2,9
2020.04.30D12:00:36.889913924,LOM0_C1550,4.15,4.28,2,2
2020.04.30D12:00:36.889918177,LOM0_C1300,6.05,6.21,2,9
2020.04.30D12:00:36.889922255,LOM0_P2200,5.46,5.61,8,2
2020.04.30D12:00:36.889926455,LON0_P2350,5.46,5.61,6,6
2020.04.30D12:00:36.889932984,LOM0_C1100,7.73,7.9,2,8
2020.04.30D12:00:36.889937251,LOM0_P2000,4.12,4.25,1,2
2020.04.30D12:00:36.889941342,LON0_C2550,1.78,1.87,5,14
2020.04.30D12:00:36.889945250,LOM0_P1800,3.07,3.19,18,6
2020.04.30D12:00:36.889949435,LON0_P1700,2.76,2.86,8,15
2020.04.30D12:00:36.889953429,LON0_C3100,0.63,0.74,24,14
2020.04.30D12:00:36.889957441,LON0_C3050,0.69,0.81,28,31
2020.04.30D12:00:36.890926917,LOM0_C1950,1.86,1.94,6,14
2020.04.30D12:00:36.890930266,LON0_C2100,3.66,3.81,6,6
2020.04.30D12:00:36.890934596,LOM0_C1700,3.19,3.27,2,3
2020.04.30D12:00:36.891779731,LOM0_P2000,4.12,4.25,2,2
2020.04.30D12:00:36.891782898,LOM0_P2100,4.76,4.89,2,2
2020.04.30D12:00:36.910107668,LOM0_C1850,2.34,2.42,3,12
2020.04.30D12:00:36.910113738,LON0_C2350,2.49,2.59,5,13
2020.04.30D12:00:36.910119290,LON0_C2450,2.1,2.21,5,13
2020.04.30D12:00:36.910123551,LOM0_C1200,6.88,7.03,2,8
2020.04.30D12:00:36.910127716,LOM0_C1250,6.46,6.62,2,8
2020.04.30D12:00:36.910131846,LOM0_C1000,8.6,8.79,2,2
2020.04.30D12:00:36.910135856,LOM0_C1150,7.3,7.46,2,8
2020.04.30D12:00:36.910139922,LOM0_C1050,8.16,8.35,2,2
2020.04.30D12:00:36.910149591,LON0_P1100,1.62,1.72,11,39
2020.04.30D12:00:36.910152487,LON0_P950,1.44,1.54,22,25
2020.04.30D12:00:36.910156526,LON0_P1000,1.5,1.6,85,35
2020.04.30D12:00:36.917827919,LOM0_C1700,3.19,3.27,2,3
2020.04.30D12:00:36.917832177,LON0_C2950,0.84,0.95,30,16
2020.04.30D12:00:36.917836592,LON0_C2900,0.92,1.04,26,38
2020.04.30D12:00:36.919058654,LOM0_C1700,3.19,3.27,2,3
2020.04.30D12:00:36.944572461,LOM0_C1850,2.34,2.42,3,12
2020.04.30D12:00:36.944575793,LOM0_P1600,2.32,2.39,28,6
2020.04.30D12:00:36.944580051,LOM0_C2050,1.47,1.55,12,12
2020.04.30D12:00:36.944584206,LOM0_P1450,1.9,1.97,21,5
2020.04.30D12:00:36.944588389,LOM0_P1250,1.49,1.56,33,7
2020.04.30D12:00:36.944596479,LON0_P2050,3.95,4.07,25,10
2020.04.30D12:00:36.944863146,LOM0_C2600,0.38,0.43,9,15
2020.04.30D12:00:36.944987526,LON0_P1350,1.99,2.08,27,9
2020.04.30D12:00:36.945093248,LON0_P2050,3.95,4.07,21,10
2020.04.30D12:00:36.945096500,LON0_P1350,1.99,2.08,23,9
2020.04.30D12:00:36.950419988,LOM0_C1000,8.6,8.79,2,2
2020.04.30D12:00:36.950424155,LOM0_C1050,8.16,8.35,2,2
2020.04.30D12:00:36.950428695,LOM0_C1100,7.73,7.9,2,8
2020.04.30D12:00:36.950432858,LOM0_C1150,7.3,7.46,2,8
2020.04.30D12:00:36.950436939,LOM0_C1200,6.88,7.03,2,8
2020.04.30D12:00:36.950443829,LOM0_C1250,6.46,6.62,2,8
2020.04.30D12:00:36.950446877,LOM0_C1300,6.05,6.21,2,9
2020.04.30D12:00:36.950451009,LOM0_C1350,5.65,5.8,2,9
2020.04.30D12:00:36.950455311,LOM0_C1400,5.26,5.42,2,9
2020.04.30D12:00:36.950459335,LOM0_C1450,4.88,5.04,2,9
2020.04.30D12:00:36.950463449,LOM0_C1500,4.51,4.66,2,9
2020.04.30D12:00:36.950547333,LOM0_C1700,3.19,3.27,2,3
2020.04.30D12:00:36.950550818,LOM0_C1750,2.88,2.96,3,3
2020.04.30D12:00:36.950554847,LOM0_C1800,2.6,2.69,4,13
2020.04.30D12:00:36.950559012,LOM0_C1900,2.09,2.17,4,12
2020.04.30D12:00:36.950562973,LOM0_C1950,1.86,1.94,6,14
2020.04.30D12:00:36.950567080,LOM0_C2000,1.7,1.73,2,14
2020.04.30D12:00:36.950762593,LOM0_P1350,1.67,1.75,33,8
2020.04.30D12:00:36.950766085,LOM0_P650,0.78,0.87,14,9
2020.04.30D12:00:36.950770576,LOM0_P700,0.82,0.91,13,9
2020.04.30D12:00:36.950774950,LOM0_P800,0.91,0.97,24,4
2020.04.30D12:00:36.950869068,LOM0_C1000,8.6,8.79,7,2
2020.04.30D12:00:36.950872528,LOM0_C1050,8.16,8.35,7,2
2020.04.30D12:00:36.950877010,LOM0_C1100,7.73,7.9,2,8
2020.04.30D12:00:36.950883396,LOM0_C1150,7.3,7.46,2,8
2020.04.30D12:00:36.950887792,LOM0_C1200,6.88,7.03,2,8
2020.04.30D12:00:36.950893901,LOM0_C1250,6.46,6.62,2,8
2020.04.30D12:00:36.950896797,LOM0_C1300,6.05,6.21,2,9
2020.04.30D12:00:36.950900769,LOM0_C1350,5.65,5.8,2,9
2020.04.30D12:00:36.950905128,LOM0_C1400,5.26,5.42,2,9
2020.04.30D12:00:36.950909603,LOM0_C1450,4.88,5.04,2,9
2020.04.30D12:00:36.950913557,LOM0_C1500,4.51,4.66,2,9
2020.04.30D12:00:36.950917701,LOM0_C1550,4.15,4.28,2,2
2020.04.30D12:00:36.950921820,LOM0_C1600,3.81,3.93,2,2
2020.04.30D12:00:36.950930539,LOM0_C1650,3.48,3.6,2,2
2020.04.30D12:00:36.950933804,LOM0_C2250,0.9,0.96,13,9
2020.04.30D12:00:36.968853949,LOM0_C1650,3.48,3.6,2,2
2020.04.30D12:00:36.968857405,LOM0_C2600,0.38,0.43,9,15
2020.04.30D12:00:36.968861516,LOM0_C2650,0.34,0.4,9,17
2020.04.30D12:00:37.010253189,LOM0_P1200,1.41,1.48,36,12
2020.04.30D12:00:37.010284647,LON0_P2100,4.17,4.28,25,4
2020.04.30D12:00:37.152007291,LOM0_P1800,3.07,3.19,18,6
2020.04.30D12:00:37.152011547,LOM0_P1850,3.3,3.42,6,2
2020.04.30D12:00:37.227306183,LOM0_C1000,8.6,8.79,7,7
2020.04.30D12:00:37.227317035,LOM0_C1050,8.16,8.35,7,7
2020.04.30D12:00:37.227320275,LOM0_C1100,7.73,7.9,2,8
2020.04.30D12:00:37.227324287,LOM0_C1250,6.46,6.62,2,13
